23,you
26,i
27,me
30,i
31,i
32,i
34,i
39,mine
40,i
41,me
49,me
65,i
77,me
89,i
95,i
99,i
114,i
124,i
131,you
147,i
151,me
158,i
178,me
185,me
188,me
195,i
200,i
203,i
207,i
221,i
223,i
224,i
232,you
240,i
243,i
291,me
292,i
295,me
309,me
312,i
319,i
327,i
338,your
349,i
354,i
354,i
368,i
368,i
375,i
382,me
387,i
399,i
402,i
416,i
439,your
442,i
447,i
451,i
453,i
462,i
473,me
479,me
524,i
526,i
541,i
554,i
555,me
557,i
559,me
574,i
586,me
591,mine
594,me
605,i
620,you
628,me
628,i
632,i
640,me
656,i
658,me
661,me
681,me
687,i
692,i
706,me
715,i
